PROVINCE_CODE,PROVINCE_NAME,CITY_CODE,CITY_NAME
1005,浙江,0573,嘉兴市
1024,河北,0310,邯郸市
010,北京,010,北京市
1001,广东,0751,韶关市
1005,浙江,0574,宁波市
1001,广东,0668,茂名市
1026,山东,0538,泰安市
1026,山东,0530,菏泽市
1001,广东,0759,湛江市
1019,贵州,0851,贵阳市
1001,广东,0757,佛山市
1001,广东,0769,东莞市
1004,江苏,0515,盐城市
023,重庆,023,重庆市
1002,四川,028,成都市
1001,广东,020,广州市
1001,广东,0755,深圳市
1001,广东,0758,肇庆市
1018,陕西,0911,延安市
1013,吉林,0440,珲春市
1017,河南,0370,商丘市
1016,湖北,0713,黄州市
1018,陕西,0910,咸阳市
1002,四川,0833,乐山市
1009,西藏,0891,拉萨市
1012,安徽,0559,黄山市
1013,吉林,0431,长春市
1024,河北,0312,保定市
1014,宁夏,0954,固原市
1017,河南,0371,郑州市
1017,河南,0398,三门峡
1020,辽宁,0427,盘锦市
1004,江苏,0518,连云港
1021,甘肃,0935,武威市
1010,山西,0356,晋城市
1025,内蒙古,0476,赤峰市    
1025,内蒙古,0482,乌兰浩特  
1016,湖北,0719,十堰市
1026,山东,0535,烟台市
1013,吉林,0439,浑江市
1010,山西,0357,临汾市
1001,广东,0756,珠海市
1023,福建,0591,福州市
1003,湖南,0739,邵阳市
1019,贵州,0859,兴义市
1001,广东,0752,惠州市
1023,福建,0593,宁德市
1003,湖南,0744,张家界
1015,江西,0799,萍乡市
1006,云南,0874,曲靖
1016,湖北,0728,江汉市
1002,四川,0811,重庆市
1002,四川,0832,内江市
1009,西藏,0896,那曲地区
1021,甘肃,0943,白银市
1024,河北,0313,张家口
1017,河南,0376,信阳市
1002,四川,0835,雅安市
1002,四川,0838,德阳市
1019,贵州,0858,六盘水
1010,山西,0351,太原市
1025,内蒙古,0483,阿拉善左旗
852,香港,852,香港
1006,云南,0888,丽江
1007,青海,0973,同仁市
1009,西藏,0893,山南市
1012,安徽,0554,淮南市
1011,广西,0770,防城港
1024,河北,0316,廊坊市
1017,河南,0373,新乡市
1015,江西,0791,南昌市
1025,内蒙古,0478,临河市    
1016,湖北,0710,襄城市
1020,辽宁,0410,铁岭市
1026,山东,0532,青岛市
1002,四川,0830,泸州市
1002,四川,0840,泸州市
1020,辽宁,0411,大连市
1011,广西,0777,钦州市
1013,吉林,0436,白城市
1021,甘肃,0933,平凉市
1027,新疆,0906,阿勒泰地区
1016,湖北,0717,宜昌市
1022,黑龙江,0453,牡丹江  
1009,西藏,0894,林芝地区
1013,吉林,0434,四平市
1014,宁夏,0951,银川市
1017,河南,0374,许昌市
022,天津,022,天津市
1021,甘肃,0941,甘南州
1017,河南,0372,安阳市
1027,新疆,0902,哈密地区
1015,江西,0796,吉安市
1008,海南,0899,三亚市
1004,江苏,025,南京市
1012,安徽,0561,淮北市
1003,湖南,0737,益阳市
1006,云南,0877,玉溪
1016,湖北,027,武汉市
1022,黑龙江,0455,绥化市  
